Schlüssel|Zeitstand|Planungsraumnummer|Einwohnerstand|Status 4: Kinderarmut|Kommentar
07501032|202012|07501032|5.653|28,511|gültig
07501133|202012|07501133|8.141|30,032|gültig
07501134|202012|07501134|10.584|23,651|gültig
07501135|202012|07501135|2.233|10,484|gültig
07601236|202012|07601236|10.193|48,472|gültig
07601237|202012|07601237|4.740|10,691|gültig
07601238|202012|07601238|2.869|37,296|gültig
07601339|202012|07601339|5.749|41,017|gültig
07601340|202012|07601340|6.429|41,684|gültig
07601341|202012|07601341|2.284|17,55|gültig
07601442|202012|07601442|10.498|15,004|gültig
07601443|202012|07601443|10.895|20,831|gültig
07601544|202012|07601544|8.485|27,885|gültig
07601545|202012|07601545|8.431|57,586|gültig
07601546|202012|07601546|6.978|8,333|gültig
07601547|202012|07601547|3.859|27,778|gültig
07601548|202012|07601548|2.964|15,213|gültig
08100101|202012|08100101|4.516|40,417|gültig
08100102|202012|08100102|8.218|37,861|gültig
08100103|202012|08100103|7.473|39,842|gültig
08100104|202012|08100104|6.706|55,621|gültig
08100105|202012|08100105|5.567|62,407|gültig
08100206|202012|08100206|9.668|43,153|gültig
08100207|202012|08100207|7.451|52,695|gültig
08100208|202012|08100208|12.288|49,783|gültig
08100209|202012|08100209|8.524|55,924|gültig
08100310|202012|08100310|7.877|28,779|gültig
08100311|202012|08100311|7.342|24,414|gültig
08100312|202012|08100312|11.788|36,466|gültig
08100313|202012|08100313|3.868|39,241|gültig
08100314|202012|08100314|8.264|52,217|gültig
08100415|202012|08100415|6.530|38,488|gültig
08100416|202012|08100416|6.562|36,311|gültig
08100417|202012|08100417|9.919|48,252|gültig
08100418|202012|08100418|9.588|37,952|gültig
08100419|202012|08100419|7.100|68,327|gültig
08100520|202012|08100520|5.767|67,527|gültig
08100521|202012|08100521|9.620|74,678|gültig
08200622|202012|08200622|5.608|60,894|gültig
08200623|202012|08200623|6.064|35,818|gültig
08200624|202012|08200624|8.754|48,875|gültig
08200725|202012|08200725|2.455|14,423|gültig
08200726|202012|08200726|6.271|23,585|gültig
08200727|202012|08200727|7.983|33,83|gültig
08200728|202012|08200728|1.253|38,06|gültig
08200729|202012|08200729|1.865|8,917|gültig
08200730|202012|08200730|3.321|20,87|gültig
08200831|202012|08200831|8.320|20,955|gültig
